X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
399489.6,137576.25,25142269,2025/09/17 16:25:29+00,DAY,OTHERS,THEFT/OTHER,1200 - 1229 BLOCK OF 1ST STREET NE,399489.6,137576.25,6,6E,5,501,Cluster 25,010601 2,10601,Precinct 144,38.90604399,-77.00588449,NOMA,2025/09/17 15:28:00+00,,811060037,
399692.79,136918.38,25140550,2025/09/14 07:00:49+00,MIDNIGHT,OTHERS,THEFT/OTHER,700 - 899 BLOCK OF 2ND STREET NE,399692.79,136918.38,6,6C,1,104,Cluster 25,008301 1,8301,Precinct 83,38.90011776,-77.00354158,CAPITOL HILL,2025/09/14 04:00:00+00,2025/09/14 06:00:00+00,811060182,
400437.04,136855.95,25424070,2025/09/19 12:01:34+00,DAY,OTHERS,THEFT/OTHER,700 - 799 BLOCK OF 8TH STREET NE,400437.04,136855.95,6,6A,1,104,Cluster 25,008302 2,8302,Precinct 83,38.89955532,-76.99496175,,2025/09/14 09:14:00+00,2025/09/14 09:20:00+00,811060245,
402061,135138,25147010,2025/09/26 08:46:03+00,MIDNIGHT,KNIFE,ASSAULT W/DANGEROUS WEAPON,1900 BLOCK OF D STREET SE,402061,135138,7,7F,1,107,Cluster 26,006804 1,6804,Precinct 80,38.88407708,-76.9762457,,2025/09/26 06:26:00+00,,811060354,
396456.22,137483.23,25151536,2025/10/04 19:17:11+00,EVENING,OTHERS,THEFT/OTHER,1130 - 1199 BLOCK OF CONNECTICUT AVENUE NW,396456.22,137483.23,2,2C,2,207,Cluster 6,010700 1,10700,Precinct 17,38.90519904,-77.04085636,GOLDEN TRIANGLE,2025/10/04 17:57:00+00,2025/10/04 18:40:00+00,811060357,
398068.79,141087.71,25151767,2025/10/05 03:39:05+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,700 - 799 BLOCK OF QUINCY STREET NW,398068.79,141087.71,4,4C,4,407,Cluster 18,002400 1,2400,Precinct 49,38.93767438,-77.02227513,,2025/10/04 23:00:00+00,2025/10/05 03:22:00+00,811060358,
398010.08,138818.94,25151007,2025/10/04 17:21:15+00,DAY,OTHERS,THEFT/OTHER,2000 - 2099 BLOCK OF 8TH STREET NW,398010.08,138818.94,1,1B,3,305,Cluster 3,003500 3,3500,Precinct 37,38.91723646,-77.02294573,,2025/10/03 17:17:00+00,2025/10/03 18:13:00+00,811060359,
393039.43,142375.16,25151507,2025/10/04 17:32:21+00,DAY,OTHERS,THEFT/OTHER,4530 - 4599 BLOCK OF WISCONSIN AVENUE NW,393039.43,142375.16,3,3E,2,202,Cluster 11,001100 4,1100,Precinct 32,38.94924665,-77.08029824,,2025/10/04 16:12:00+00,2025/10/04 17:00:00+00,811060361,
400638.06,136989.89,25151343,2025/10/04 06:17:23+00,MIDNIGHT,KNIFE,ASSAULT W/DANGEROUS WEAPON,800 - 899 BLOCK OF 10TH STREET NE,400638.06,136989.89,6,6A,1,104,Cluster 25,008410 1,8410,Precinct 82,38.90076177,-76.99264424,,2025/10/04 04:25:00+00,2025/10/04 04:30:00+00,811060362,
400086.92,130650.04,25151474,2025/10/04 16:53:50+00,DAY,OTHERS,THEFT/OTHER,3100 - 3118 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,400086.92,130650.04,8,8C,7,707,Cluster 39,010400 1,10400,Precinct 123,38.84365008,-76.99899876,,2025/10/04 15:41:00+00,2025/10/04 16:51:00+00,811060363,
